;Wartoscmierzona;PomiarV;PomiarInt
0;4.5;4.3343822748496965;23109
1;4.5;4.333632251960815;23111
2;4.5;4.664017334513383;28964
3;4.5;5.43222827845088;28972
4;4.5;4.3343822748496965;23111
5;4.5;4.332882229071932;23107
6;4.5;4.332507217627491;23575
7;4.5;5.430915738395337;28970
8;4.5;5.432603289895321;23114
9;4.5;4.333444746238594;23109
10;4.5;4.332882229071932;23107
11;4.5;4.332507217627491;28962
12;4.5;5.4320407727286595;28973
13;4.5;4.334194769127476;23110
14;4.5;4.333069734794153;23107
15;4.5;4.332882229071932;23107
16;4.5;5.430540726950896;28968
17;4.5;5.432603289895321;23115
18;4.5;4.333444746238594;23107
19;4.5;4.332694723349712;23106
20;10.5;5.267035737174596;28972
21;10.5;5.433353312784203;23121
22;10.5;4.3340072634052556;23112
23;10.5;4.333632251960815;23112
24;10.5;5.430728232673116;28972
25;10.5;5.433165807061983;23118
26;10.5;4.3340072634052556;23111
27;10.5;4.333069734794153;23109
28;10.5;5.430728232673116;28971
29;10.5;5.432978301339762;23117
30;10.5;4.333819757683035;23111
31;10.5;4.333444746238594;23110
32;10.5;5.430540726950896;28971
33;10.5;5.433165807061983;23117
34;10.5;4.333632251960815;23109
35;10.5;4.332882229071932;23110
36;10.5;5.430915738395337;28972
37;10.5;5.433165807061983;23115
38;10.5;4.333444746238594;23109
39;10.5;4.332694723349712;23109
